Thickness,Time,Outer_Temperature,Temp_Diff,dT_dt,Fourier_Number,Insulation_Efficiency
0.01,7.5187969924812,20.0074012463021,0.0074012463020984,0.000984365758179,0.0167084377610693,1.35112379615913
0.01,15.0375939849624,20.0159473386307,0.0159473386306992,0.0011366302797038,0.0334168755221387,0.627063877652265
0.01,22.5563909774436,20.0470887956297,0.0470887956297013,0.0041418137808672,0.050125313283208,0.212364743380536
0.01,30.0751879699248,20.0990205749847,0.0990205749846993,0.0069069266542147,0.0668337510442773,0.100989112631847
0.01,37.593984962406,20.1708084856495,0.170808485649498,0.0095477921184183,0.0835421888053467,0.0585451007423609
0.01,203.007518796992,22.9018875011337,2.9018875011337,0.009996196942724,0.451127819548871,0.0034460329685741
0.01,210.526315789474,22.9656488407188,2.9656488407188,0.0084802581648172,0.467836257309942,0.0033719433881377
0.01,218.045112781955,23.0168945923956,3.0168945923956,0.0068156849730149,0.484544695071011,0.0033146666858053
0.01,225.563909774436,23.0547916553486,3.0547916553486,0.0050403093727486,0.50125313283208,0.0032735456712706
0.01,233.082706766917,23.0785069287621,3.0785069287621,0.0031541313639957,0.517961570593149,0.0032483279172027
0.01,240.601503759398,23.0872073118206,3.0872073118206,0.0011571509467804,0.534670008354218,0.0032391734632497
0.01,248.12030075188,23.0855513700593,3.0855513700593,-0.0002202402542528,0.551378446115289,0.0032409118503212
0.01,255.639097744361,23.0705769788819,3.0705769788819,-0.0019915940265942,0.568086883876358,0.0032567169195808
0.01,263.157894736842,23.041357502913,3.041357502913,-0.0038861903038634,0.584795321637427,0.0032880054352117
0.01,270.676691729323,22.9974739421777,2.9974739421777,-0.0058365135777954,0.601503759398496,0.0033361424295601
0.01,278.195488721805,22.9385072967013,2.9385072967013,-0.0078425638483602,0.618212197159567,0.0034030883677661
0.01,345.864661654135,22.0405158764478,2.0405158764478,-0.0059067034906133,0.768588137009189,0.0049007214868665
0.01,353.383458646617,22.030656257529,2.030656257529,-0.0013113293162001,0.78529657477026,0.0049245163788422
0.01,360.902255639098,22.0400228412337,2.0400228412337,0.0012457556327252,0.802005012531329,0.0049019058992263
0.01,368.421052631579,22.0682846856568,2.0682846856568,0.0037588253082722,0.818713450292398,0.0048349243551181
0.01,375.93984962406,22.112419593041,2.112419593041,0.0058699426820989,0.835421888053467,0.004733907994862
0.01,383.458646616541,22.1695958883811,2.1695958883811,0.0076044472802334,0.852130325814536,0.0046091532776003
0.01,390.977443609023,22.2383035199791,2.2383035199791,0.0091381150025333,0.868838763575607,0.0044676693356106
0.01,496.240601503759,23.4687653921716,3.4687653921716,0.0090383043736864,1.10275689223058,0.0028828700904847
0.01,503.759398496241,23.528358013561,3.528358013561,0.0079258186447892,1.11946532999165,0.0028341795139738
0.01,511.278195488722,23.5785496675457,3.5785496675457,0.0066754899799653,1.13617376775272,0.0027944281703538
0.01,518.796992481203,23.6184015675515,3.6184015675515,0.0053003027007715,1.15288220551378,0.0027636512458087
0.01,526.315789473684,23.6490254890704,3.6490254890704,0.0040729815620136,1.16959064327485,0.0027404577002687
0.01,533.834586466165,23.6684540100973,3.6684540100973,0.0025839932965777,1.18629908103592,0.0027259439459988
0.01,541.353383458647,23.6758773831968,3.6758773831968,0.0009873086222332,1.20300751879699,0.0027204389476406
0.01,548.872180451128,23.6704858609336,3.6704858609336,-0.0007170724610055,1.21971595655806,0.0027244349600781
0.01,556.390977443609,23.6524072791642,3.6524072791642,-0.0024044513753299,1.23642439431913,0.0027379202908303
0.01,563.90977443609,23.6232214236819,3.6232214236819,-0.003881718779146,1.2531328320802,0.0027599748485252
0.01,571.428571428571,23.5809939048981,3.5809939048981,-0.0056162599982455,1.26984126984127,0.0027925208100248
0.01,578.947368421053,23.5252786361527,3.5252786361527,-0.0074101307431376,1.28654970760234,0.0028366552071791
0.01,661.654135338346,22.3464918084453,2.3464918084453,-0.0082528900568606,1.4703425229741,0.0042616811889173
0.01,669.172932330827,22.3261919129704,2.3261919129704,-0.0026998860981616,1.48705096073517,0.0042988714491878
0.01,676.691729323308,22.3319883197203,2.3319883197203,0.0007709220977364,1.50375939849624,0.0042881861437451
0.01,684.210526315789,22.3557691452946,2.3557691452946,0.0031628498013823,1.52046783625731,0.0042448981132017
0.01,691.729323308271,22.3924227214932,2.3924227214932,0.0048749256344132,1.53717627401838,0.004179863328567
0.01,699.248120300752,22.4406725948178,2.4406725948178,0.0064172331521719,1.55388471177945,0.0040972312391398
0.01,706.766917293233,22.4995994073302,2.4995994073302,0.0078372660641494,1.57059314954052,0.0040006410509918
0.01,714.285714285714,22.5679237452514,2.5679237452514,0.0090871369435194,1.58730158730159,0.0038941966320035
0.01,796.992481203008,23.5033694511525,3.5033694511525,0.0097529912012421,1.77109440267335,0.0028543949302036
0.01,804.511278195489,23.5705803306788,3.5705803306788,0.008939046976998,1.78780284043442,0.0028006651787327
0.01,812.03007518797,23.6306156472706,3.6306156472706,0.0079846971067092,1.80451127819549,0.0027543537987883
0.01,819.548872180451,23.6820129339187,3.6820129339187,0.0068358391241976,1.82121971595656,0.0027159057231657
0.01,827.067669172932,23.7237273771948,3.7237273771948,0.0055480209557213,1.83792815371763,0.0026854812361514
0.01,834.586466165414,23.7558577544162,3.7558577544162,0.0042733401704461,1.8546365914787,0.0026625076490827
0.01,842.105263157895,23.7780212354768,3.7780212354768,0.0029477429810596,1.87134502923977,0.0026468882456501
0.01,849.624060150376,23.7889210244259,3.7889210244259,0.0014496719302303,1.88805346700084,0.0026392738026296
