Thickness,Fourier_Number,Temp_Diff,Insulation_Efficiency
0.01,0.0167084377610693,0.0074012463020984,1.35112379615913
0.01,0.0334168755221387,0.0159473386306992,0.627063877652265
0.01,0.050125313283208,0.0470887956297013,0.212364743380536
0.01,0.0668337510442773,0.0990205749846993,0.100989112631847
0.01,0.0835421888053467,0.170808485649498,0.0585451007423609
0.01,0.451127819548871,2.9018875011337,0.0034460329685741
0.01,0.467836257309942,2.9656488407188,0.0033719433881377
0.01,0.484544695071011,3.0168945923956,0.0033146666858053
0.01,0.50125313283208,3.0547916553486,0.0032735456712706
0.01,0.517961570593149,3.0785069287621,0.0032483279172027
0.01,0.534670008354218,3.0872073118206,0.0032391734632497
0.01,0.551378446115289,3.0855513700593,0.0032409118503212
0.01,0.568086883876358,3.0705769788819,0.0032567169195808
0.01,0.584795321637427,3.041357502913,0.0032880054352117
0.01,0.601503759398496,2.9974739421777,0.0033361424295601
0.01,0.618212197159567,2.9385072967013,0.0034030883677661
0.01,0.768588137009189,2.0405158764478,0.0049007214868665
0.01,0.78529657477026,2.030656257529,0.0049245163788422
0.01,0.802005012531329,2.0400228412337,0.0049019058992263
0.01,0.818713450292398,2.0682846856568,0.0048349243551181
0.01,0.835421888053467,2.112419593041,0.004733907994862
0.01,0.852130325814536,2.1695958883811,0.0046091532776003
0.01,0.868838763575607,2.2383035199791,0.0044676693356106
0.01,1.10275689223058,3.4687653921716,0.0028828700904847
0.01,1.11946532999165,3.528358013561,0.0028341795139738
0.01,1.13617376775272,3.5785496675457,0.0027944281703538
0.01,1.15288220551378,3.6184015675515,0.0027636512458087
0.01,1.16959064327485,3.6490254890704,0.0027404577002687
0.01,1.18629908103592,3.6684540100973,0.0027259439459988
0.01,1.20300751879699,3.6758773831968,0.0027204389476406
0.01,1.21971595655806,3.6704858609336,0.0027244349600781
0.01,1.23642439431913,3.6524072791642,0.0027379202908303
0.01,1.2531328320802,3.6232214236819,0.0027599748485252
0.01,1.26984126984127,3.5809939048981,0.0027925208100248
0.01,1.28654970760234,3.5252786361527,0.0028366552071791
0.01,1.4703425229741,2.3464918084453,0.0042616811889173
0.01,1.48705096073517,2.3261919129704,0.0042988714491878
0.01,1.50375939849624,2.3319883197203,0.0042881861437451
0.01,1.52046783625731,2.3557691452946,0.0042448981132017
0.01,1.53717627401838,2.3924227214932,0.004179863328567
0.01,1.55388471177945,2.4406725948178,0.0040972312391398
0.01,1.57059314954052,2.4995994073302,0.0040006410509918
0.01,1.58730158730159,2.5679237452514,0.0038941966320035
0.01,1.77109440267335,3.5033694511525,0.0028543949302036
0.01,1.78780284043442,3.5705803306788,0.0028006651787327
0.01,1.80451127819549,3.6306156472706,0.0027543537987883
0.01,1.82121971595656,3.6820129339187,0.0027159057231657
0.01,1.83792815371763,3.7237273771948,0.0026854812361514
0.01,1.8546365914787,3.7558577544162,0.0026625076490827
0.01,1.87134502923977,3.7780212354768,0.0026468882456501
0.01,1.88805346700084,3.7889210244259,0.0026392738026296
0.01,1.9047619047619,3.7877835459211,0.0026400663815039
0.01,1.92147034252297,3.7747796204043,0.0026491612771102
0.01,1.93817878028404,3.7502457061877,0.002666491953714
0.01,1.95488721804511,3.7129957058398,0.0026932430824716
0.01,1.97159565580618,3.6625490045673,0.0027303388944502
0.01,1.98830409356725,3.5996642113086,0.0027780368981596
0.01,2.17209690893901,2.3898012952352,0.0041844483137313
0.01,2.18880534670008,2.374098355158,0.0042121254067986
0.01,2.20551378446115,2.3846362233865,0.0041935117406707
0.01,2.22222222222222,2.4125277666075,0.0041450300130895
0.01,2.23893065998329,2.4511741821651,0.0040796774349047
0.01,2.25563909774436,2.50081098875,0.0039987028387932
0.01,2.27234753550542,2.5591507024987,0.003907546355217
0.01,2.28905597326649,2.6269745739171,0.003806660368657
0.01,2.47284878863827,3.5442818646999,0.0028214460310274
0.01,2.48955722639933,3.6090262472997,0.0027708304996346
